municipio,total_bib
Balaguer,1
Belianes,1
Bell-lloc d'Urgell,1
Bellpuig,1
Bellvís,1
Castelldans,1
Castellserà,1
Cervera,1
Cervià de les Garrigues,1
El Palau d'Anglesola,1
El Pont de Suert,1
Esterri d'Àneu,1
Guissona,1
Juneda,1
L' Albagés,1
La Granadella,1
La Granja d'Escarp,1
La Pobla de Segur,1
La Seu d'Urgell,1
Les Borges Blanques,1
Linyola,1
Lleida,4
Mollerussa,1
Puigverd de Lleida,1
Solsona,1
Sort,1
Tàrrega,1
Torregrossa,1
Torres de Segre,1
Tremp,1
Vielha e Mijaran,1
Vinaixa,1
Melilla,1
Ceuta,1
Aguarón,1
Ainzón,1
Alagón,1
Alfajarín,1
Alfamén,1
Almonacid de la Sierra,1
Alpartir,1
Aniñón,1
Ariza,1
Ateca,1
Belchite,1
Biota,1
Borja,1
Botorrita,1
Brea de Aragón,1
Bujaraloz,1
Cabañas de Ebro,1
Cadrete,1
Calatayud,1
Calatorao,1
Cariñena,1
Caspe,1
Cinco Olivas,1
Cosuenda,1
Cuarte de Huerva,1
Daroca,1
Ejea de los Caballeros,2
El Burgo de Ebro,1
El Frago,1
Épila,1
Erla,1
Escatrón,1
Fabara,1
Fayón,1
Figueruelas,1
Fuendejalón,1
Fuentes de Ebro,1
Gallur,1
Gelsa,1
Illueca,1
La Almolda,1
La Almunia de Doña Godina,1
La Muela,1
La Puebla de Alfindén,1
La Zaida,1
Layana,1
Lécera,1
Leciñena,1
Longares,1
Lucena de Jalón,1
Luceni,1
Luesia,1
Lumpiaque,1
Luna,1
Maella,1
Magallón,1
Maleján,1
Mallén,1
Maluenda,1
María de Huerva,1
Mediana de Aragón,1
Mequinenza,1
Monegrillo,1
Morata de Jalón,1
Muel,1
Nuez de Ebro,1
Paniza,1
Paracuellos de la Ribera,1
Pastriz,1
Pedrola,1
Perdiguera,1
Pina de Ebro,1
Pinseque,1
Pradilla de Ebro,1
Quinto,1
Remolinos,1
Ricla,1
Rueda de Jalón,1
Sabiñán,1
Sádaba,1
San Mateo de Gállego,1
Sástago,1
Sobradiel,1
Sos del Rey Católico,1
Tarazona,1
Tauste,1
Torres de Berrellén,1
Torrijo de la Cañada,1
Uncastillo,1
Utebo,1
Velilla de Ebro,1
Vera de Moncayo,1
Villafranca de Ebro,1
Villalengua,1
Villamayor de Gállego,1
Villanueva de Gállego,1
Villarroya de la Sierra,1
Zaragoza,28
Zuera,2
Abadiño,2
