,comunidad,provincia,población,latitud,longitud,altitud,distanica_km,cuidad_mas_cercana
212,andalucia,cordoba,villafranca_de_cordoba,37.961929999999995,-4.5457279999999995,143.0544,48.50298826635228,Córdoba
213,andalucia,cordoba,villaharta,38.139509999999994,-4.903052,578.8654,77.73961648655846,Córdoba
214,andalucia,cordoba,villanueva_de_cordoba,38.322790000000005,-4.628341000000001,728.5879,89.2694894687991,Córdoba
215,andalucia,cordoba,villanueva_del_duque,38.39297,-5.000132,583.8452,105.93805959084848,Mataró
216,andalucia,cordoba,villanueva_del_rey,38.19965,-5.151443,556.6314,95.54346185379522,Córdoba
217,andalucia,cordoba,villaralto,38.455709999999996,-4.984371,586.7803,106.3332296781248,Mataró
218,andalucia,cordoba,villaviciosa_de_cordoba,38.07598,-5.014214,699.2513,77.3016359190025,Córdoba
219,andalucia,cordoba,viso_,38.4827,-4.955392,578.6813,108.57526969415865,Mataró
220,andalucia,cordoba,zuheros,37.54314,-4.316415,652.7948,13.625016457956686,Córdoba
221,andalucia,granada,agron,37.03058,-3.8297239999999997,1057.493,43.48220892874112,Granada
222,andalucia,granada,alamedilla,37.58174,-3.244309,867.9614,24.078761410731676,Jaén
223,andalucia,granada,albolote,37.23085,-3.6574150000000003,650.2138,30.38235816117064,Granada
224,andalucia,granada,albondon,36.827290000000005,-3.210813,894.4161,33.79109213975063,Granada
225,andalucia,granada,albunan,37.22719,-3.133893,1115.975,23.169151010265363,Granada
226,andalucia,granada,albunol,36.79125,-3.2034849999999997,247.2122,36.82026521064832,El_Ejido
227,andalucia,granada,albunuelas,36.9282,-3.631472,728.1844,32.15250884130912,Granada
228,andalucia,granada,aldeire,37.16264,-3.072488,1274.015,25.294687533889842,Granada
229,andalucia,granada,alfacar,37.23657,-3.570654,915.6451,24.09672652863183,Granada
230,andalucia,granada,algarinejo,37.32492,-4.158846,596.2101,35.71730990166853,Córdoba
231,andalucia,granada,alhama_de_granada,37.002520000000004,-3.9883889999999997,890.953,57.91464543121137,Granada
232,andalucia,granada,alhendin,37.1076,-3.6455839999999995,736.6528,26.22107424609432,Granada
233,andalucia,granada,alicun_de_ortega,37.60968,-3.137986,692.778,33.686492791868616,Jaén
234,andalucia,granada,almegijar,36.90245,-3.299801,811.4709,23.512418496429106,Granada
235,andalucia,granada,almunecar,36.73454,-3.6907360000000002,24.01802,43.53111288190547,Vélez-Málaga
236,andalucia,granada,alpujarra_de_la_sierra,36.9815,-3.1571290000000003,1238.5410000000002,22.30429001294244,Granada
237,andalucia,granada,alquife,37.179829999999995,-3.116288,1202.9460000000001,22.12936742948503,Granada
238,andalucia,granada,arenas_del_rey,36.95771,-3.8943230000000004,870.3409,51.21416154133361,Granada
239,andalucia,granada,armilla,37.1401,-3.617981,671.618,24.000761956630626,Granada
240,andalucia,granada,atarfe,37.2229,-3.6874160000000002,604.92,32.437077506980465,Granada
241,andalucia,granada,baza,37.49065,-2.774473,850.2978,61.491187932231256,Jaén
242,andalucia,granada,beas_de_granada,37.219159999999995,-3.4817370000000003,1068.34,16.845738174453846,Granada
243,andalucia,granada,beas_de_guadix,37.2794,-3.2059759999999997,955.7032,22.756962199873968,Granada
244,andalucia,granada,benalua,37.3503,-3.1690400000000003,858.6871,29.257620497255765,Jaén
245,andalucia,granada,benalua_de_las_villas,37.42758,-3.683473,848.7814,19.193790050924786,Jaén
246,andalucia,granada,benamaurel,37.60913,-2.699214,719.2347,69.980272684174,Jaén
247,andalucia,granada,berchules,36.97672,-3.190379,1330.1229999999998,20.508528493730825,Granada
248,andalucia,granada,bubion,36.94883,-3.3567410000000004,1298.578,17.936902900256847,Granada
249,andalucia,granada,busquistar,36.937709999999996,-3.2948459999999997,1160.204,19.77979322739195,Granada
250,andalucia,granada,cacin,37.05995,-3.91689,701.9979,50.60873701343178,Granada
251,andalucia,granada,cadiar,36.94673,-3.180546,926.387,23.58443192913754,Granada
252,andalucia,granada,cajar,37.13422,-3.570618,730.5661,19.751024444396926,Granada
253,andalucia,granada,calahorra_,37.18137,-3.0645130000000003,1198.746,26.527392448320327,Granada
254,andalucia,granada,calicasas,37.27329,-3.6182,764.5505,24.554802870200344,Jaén
255,andalucia,granada,campotejar,37.48131,-3.6164970000000003,925.5419,13.148062646874733,Jaén
256,andalucia,granada,canar,36.92661,-3.428235,1026.397,21.549300989287648,Granada
257,andalucia,granada,caniles,37.43626,-2.7224009999999996,914.9191,66.0699601120201,Jaén
258,andalucia,granada,capileira,36.961220000000004,-3.358654,1444.8929999999998,16.5666039637988,Granada
259,andalucia,granada,carataunas,36.92287,-3.4082019999999997,761.6864,21.446684164992906,Granada
260,andalucia,granada,castaras,36.93169,-3.253733,1021.059,21.5975230753402,Granada
261,andalucia,granada,castillejar,37.7147,-2.6429669999999996,770.9531,75.24105712633582,Linares
262,andalucia,granada,castril,37.79573,-2.7790880000000002,904.8172,60.36242719207993,Linares
263,andalucia,granada,cenes_de_la_vega,37.15931,-3.537524,746.4172,17.509788385332634,Granada
264,andalucia,granada,chauchina,37.20142,-3.7725400000000002,552.4158,38.813756422959685,Granada
