;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más
Hombres;;;;;;;;;;;;;;;;;;;;;;
    03042-Benitachell/Poble Nou de Benitatxell, el;2,106;69;89;85;64;90;78;91;112;131;143;159;147;142;192;217;171;81;35;8;2;0
    03043-Biar;1,799;86;85;94;96;75;99;113;105;142;160;155;126;111;96;91;57;66;28;13;1;0
    03044-Bigastro;3,382;151;199;215;169;183;215;224;296;326;290;251;211;177;120;135;96;76;37;9;2;0
    03045-Bolulla;220;4;3;7;8;10;6;10;12;20;15;20;24;17;18;20;16;5;4;1;0;0
    03046-Busot;1,516;50;76;73;80;62;68;60;69;117;121;148;122;94;111;128;86;36;11;3;1;0
    03049-Callosa de Segura;9,714;578;633;629;529;522;638;671;815;909;816;675;574;435;338;306;269;202;126;43;6;0
    03048-Callosa d'en Sarrià;3,762;169;180;234;207;193;193;241;305;347;312;288;270;212;182;153;110;84;54;27;0;1
    03047-Calp;11,480;479;546;534;553;606;664;659;802;922;870;845;768;663;683;760;541;360;158;52;14;1
    03050-Campello, el;13,796;577;682;837;751;651;653;774;968;1,144;1,192;1,174;995;764;755;731;537;349;177;75;9;1
    03051-Campo de Mirra/Camp de Mirra, el;211;10;9;11;10;5;10;16;12;14;17;21;21;16;13;5;10;4;4;1;2;0
    03052-Cañada;606;25;39;44;32;25;27;30;38;59;34;53;54;32;29;31;21;12;14;4;2;1
    03053-Castalla;5,149;226;251;259;248;303;305;283;400;485;442;401;362;312;280;245;156;109;59;21;1;1
    03054-Castell de Castells;236;5;10;8;3;7;8;11;9;20;18;23;18;16;21;18;16;17;7;1;0;0
    03075-Castell de Guadalest, el;111;1;1;1;4;2;5;7;6;8;10;7;15;16;9;3;4;6;6;0;0;0
    03055-Catral;4,307;217;257;296;247;208;215;241;323;338;350;345;266;248;219;187;169;111;50;18;2;0
    03056-Cocentaina;5,868;232;292;291;284;318;318;370;471;436;490;443;455;412;322;276;198;130;93;32;5;0
    03057-Confrides;106;2;2;4;1;3;4;5;3;5;10;7;8;15;8;8;10;4;6;1;0;0
    03058-Cox;3,722;235;237;225;186;233;230;225;330;344;314;268;231;169;123;128;101;77;45;17;4;0
    03059-Crevillent;14,627;744;820;905;794;765;808;943;1,151;1,338;1,186;1,132;969;826;708;641;393;269;182;43;10;0
    03061-Daya Nueva;852;28;30;43;44;51;46;52;56;57;67;67;63;54;62;58;29;32;11;2;0;0
    03062-Daya Vieja;354;9;8;9;13;7;18;6;17;14;36;26;26;25;53;45;26;12;2;2;0;0
    03063-Dénia;20,419;877;983;1,176;1,127;1,090;1,100;1,150;1,362;1,720;1,817;1,676;1,574;1,267;1,125;948;670;437;240;68;11;1
    03064-Dolores;3,740;182;199;219;206;222;246;252;253;300;300;289;278;179;164;160;121;95;59;14;0;2
    03065-Elche/Elx;115,151;5,478;6,492;6,869;6,158;6,011;6,643;7,513;9,252;10,864;9,699;8,655;7,738;6,641;5,481;4,431;3,048;2,279;1,348;452;91;8
    03066-Elda;25,639;1,128;1,225;1,369;1,329;1,435;1,544;1,652;1,835;2,085;2,052;1,799;1,877;1,688;1,395;1,171;899;616;388;131;20;1
    03067-Facheca;52;0;1;1;0;2;3;2;3;4;5;5;4;3;4;4;4;4;3;0;0;0
    03068-Famorca;24;0;1;0;0;0;0;1;0;0;2;3;2;5;3;1;4;1;1;0;0;0
    03069-Finestrat;3,440;173;182;163;108;128;162;247;340;346;318;319;230;192;169;154;104;64;24;13;2;2
    03077-Fondó de les Neus, el/Hondón de las Nieves;1,306;38;45;40;47;35;64;55;60;83;78;94;101;120;155;139;57;63;23;7;2;0
    03070-Formentera del Segura;2,105;80;99;133;104;92;97;118;127;166;179;169;171;148;147;122;75;48;21;8;1;0
    03072-Gaianes;227;4;11;10;5;9;12;9;11;18;16;25;22;15;23;12;12;7;5;1;0;0
    03071-Gata de Gorgos;3,082;130;149;154;157;171;160;190;202;268;233;261;222;208;159;146;121;85;49;16;1;0
    03073-Gorga;140;2;1;1;3;14;10;10;8;8;9;9;19;8;7;10;10;4;6;1;0;0
    03074-Granja de Rocamora;1,362;76;78;66;71;56;68;108;159;140;125;92;73;53;36;60;32;36;25;8;0;0
    03076-Guardamar del Segura;7,492;296;390;394;399;336;320;387;517;643;612;612;510;433;440;446;387;211;116;37;6;0
    03078-Hondón de los Frailes;616;18;22;15;20;12;13;27;17;37;36;49;37;64;80;76;50;32;7;4;0;0
    03079-Ibi;11,747;519;591;639;649;615;667;728;911;1,051;996;901;807;686;597;524;384;258;160;53;11;0
    03080-Jacarilla;1,030;35;47;72;46;59;50;66;54;64;92;88;91;72;51;46;41;27;20;8;1;0
    03082-Jávea/Xàbia;13,681;544;657;707;665;679;710;738;972;1,051;1,054;1,057;994;848;795;891;660;383;189;63;17;7
    03083-Jijona/Xixona;3,342;139;149;192;163;172;188;197;238;273;224;275;291;222;182;150;116;82;65;18;6;0
    03085-Llíber;474;6;21;16;10;13;14;14;25;22;29;33;53;36;49;71;32;18;10;2;0;0
    03084-Lorcha/Orxa, l';284;3;7;6;9;8;14;21;13;15;17;27;31;23;21;22;18;10;18;1;0;0
    03086-Millena;127;3;2;4;5;3;7;4;10;10;7;12;12;11;13;12;6;5;1;0;0;0
    03088-Monforte del Cid;4,292;239;216;214;219;204;222;327;412;476;396;352;259;222;153;123;111;83;45;16;3;0
