;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más
Hombres;;;;;;;;;;;;;;;;;;;;;;
    41102-Viso del Alcor, El;9,638;538;584;645;512;523;567;597;764;890;742;679;547;472;405;393;336;218;165;45;14;2
    42001-Abejar;142;5;3;3;4;8;7;4;8;5;9;12;12;10;11;7;9;11;10;4;0;0
    42003-Adradas;33;0;1;3;1;1;0;1;0;3;2;5;5;1;0;3;0;2;2;1;2;0
    42004-Ágreda;1,466;53;59;66;60;78;70;85;75;101;105;97;127;62;103;77;80;66;56;34;11;1
    42006-Alconaba;62;0;5;1;0;1;3;3;5;7;4;7;2;3;5;5;4;5;1;1;0;0
    42007-Alcubilla de Avellaneda;48;1;0;0;0;0;2;0;0;3;1;2;2;5;3;2;3;8;8;5;1;2
    42008-Alcubilla de las Peñas;22;0;0;0;0;0;0;1;3;0;1;1;3;1;1;3;3;3;1;1;0;0
    42009-Aldealafuente;39;2;1;1;1;1;1;2;4;2;0;5;1;4;3;1;2;3;4;1;0;0
    42010-Aldealices;14;0;1;1;0;1;0;0;1;3;1;0;0;0;2;3;0;0;0;0;1;0
    42011-Aldealpozo;9;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;1;0;1;1;0;1
    42012-Aldealseñor;15;0;0;0;0;0;1;0;0;0;2;0;2;2;1;2;1;2;2;0;0;0
    42013-Aldehuela de Periáñez;18;0;0;0;0;0;0;1;0;2;1;4;0;2;1;1;2;3;1;0;0;0
    42014-Aldehuelas, Las;30;0;0;2;1;0;0;0;0;1;0;5;4;2;3;0;1;3;4;2;2;0
    42015-Alentisque;13;0;0;1;0;1;0;0;0;0;0;0;0;2;1;1;1;1;2;2;1;0
    42016-Aliud;5;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0
    42017-Almajano;89;3;6;6;4;5;6;9;5;6;2;6;7;6;2;4;3;5;1;2;0;1
    42018-Almaluez;58;0;0;0;0;1;0;3;3;0;5;3;1;4;2;8;3;8;9;2;6;0
    42019-Almarza;246;5;10;7;5;10;9;11;9;16;19;23;14;15;12;17;18;12;15;16;3;0
    42020-Almazán;2,705;113;121;112;136;140;138;145;153;211;173;189;184;176;154;139;107;114;110;58;26;6
    42021-Almazul;26;0;0;0;0;0;1;0;0;0;0;2;1;2;1;3;2;5;3;4;1;1
    42022-Almenar de Soria;93;2;1;6;1;3;2;1;2;5;6;13;4;6;6;4;7;10;9;4;1;0
    42023-Alpanseque;24;0;0;0;0;0;0;2;1;0;1;1;3;2;2;0;1;5;4;1;1;0
    42024-Arancón;29;0;0;2;0;0;0;0;3;1;0;1;6;2;5;3;1;4;1;0;0;0
    42025-Arcos de Jalón;708;25;34;31;23;23;28;42;42;30;47;61;44;41;36;39;36;50;34;28;11;3
    42026-Arenillas;10;0;0;0;2;0;0;0;0;0;1;1;0;1;0;1;0;2;1;0;0;1
    42027-Arévalo de la Sierra;29;0;0;2;1;0;1;0;1;3;2;5;3;2;2;2;1;0;3;0;1;0
    42028-Ausejo de la Sierra;42;2;3;0;0;3;1;2;1;4;3;4;6;0;3;3;2;1;4;0;0;0
    42029-Baraona;59;1;1;0;0;0;1;2;2;3;3;1;9;2;5;4;4;7;5;6;3;0
    42030-Barca;36;0;0;1;1;0;1;1;2;1;2;3;3;3;5;2;6;3;1;1;0;0
    42031-Barcones;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;1;0;0
    42032-Bayubas de Abajo;65;0;0;0;2;0;2;2;1;1;4;5;5;2;9;4;8;8;5;6;0;1
    42033-Bayubas de Arriba;23;2;0;0;0;2;0;0;1;0;0;2;2;0;3;0;3;2;5;0;1;0
    42034-Beratón;21;0;1;0;0;0;0;0;3;1;3;1;2;3;3;2;0;1;0;0;1;0
    42035-Berlanga de Duero;420;10;10;17;17;12;14;22;19;26;25;29;28;22;22;26;32;32;33;17;5;2
    42036-Blacos;18;0;0;0;0;0;2;1;0;0;1;1;1;1;3;0;2;2;1;3;0;0
    42037-Bliecos;14;0;0;2;0;0;0;0;1;0;1;0;1;1;2;0;1;1;3;1;0;0
    42038-Borjabad;13;0;0;0;0;0;1;0;0;0;1;1;0;1;0;2;2;1;4;0;0;0
    42039-Borobia;112;3;3;5;4;2;7;4;5;8;1;6;9;2;8;6;9;8;12;7;3;0
    42041-Buberos;14;0;0;0;0;0;0;0;0;2;3;0;0;0;0;3;1;4;0;1;0;0
    42042-Buitrago;31;4;3;1;2;1;2;1;2;1;2;3;1;1;3;0;1;1;1;1;0;0
    42043-Burgo de Osma-Ciudad de Osma;2,477;90;117;109;124;117;125;136;144;181;185;201;172;139;123;99;108;103;99;69;29;7
    42044-Cabrejas del Campo;19;0;0;0;0;1;0;0;0;0;1;2;3;1;1;2;3;2;3;0;0;0
    42045-Cabrejas del Pinar;149;2;5;3;2;7;8;10;4;3;11;6;16;9;7;8;8;11;14;14;1;0
    42046-Calatañazor;22;0;0;1;0;2;0;2;0;1;0;3;2;4;2;0;2;0;3;0;0;0
    42048-Caltojar;16;0;0;0;0;0;0;0;0;0;2;4;1;0;1;0;2;3;2;0;1;0
    42049-Candilichera;47;0;2;0;0;1;2;1;0;0;1;5;1;3;4;4;8;7;6;0;1;1
    42050-Cañamaque;11;0;0;1;0;0;0;0;0;1;1;3;1;0;0;0;1;2;0;1;0;0
    42051-Carabantes;7;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;2;0;0
    42052-Caracena;6;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0
    42053-Carrascosa de Abajo;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;3;0;0;0;0
    42054-Carrascosa de la Sierra;5;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0
    42055-Casarejos;81;2;2;1;3;1;4;2;2;3;6;4;7;5;6;7;6;10;5;5;0;0
    42056-Castilfrío de la Sierra;9;0;0;0;0;1;0;1;0;0;1;1;0;0;2;3;0;0;0;0;0;0
    42058-Castillejo de Robledo;43;0;0;0;0;2;3;0;1;0;1;2;3;3;7;6;5;7;3;0;0;0
    42057-Castilruiz;78;0;0;3;0;1;1;3;1;5;4;4;1;4;3;5;11;8;10;11;1;2
    42059-Centenera de Andaluz;10;0;0;0;0;1;0;0;2;0;0;1;1;2;1;1;0;0;1;0;0;0
    42060-Cerbón;9;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;3;1;0;0;0
    42061-Cidones;118;3;3;4;1;1;5;3;3;8;9;15;11;10;17;6;4;6;5;4;0;0
    42062-Cigudosa;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;1;0;0
    42063-Cihuela;23;1;0;0;0;0;1;1;1;0;0;0;0;2;2;2;4;1;3;2;2;1
    42064-Ciria;43;0;0;0;1;1;3;0;0;3;1;4;8;6;4;3;4;1;1;2;1;0
    42065-Cirujales del Río;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0
    42068-Coscurita;30;1;0;0;0;1;1;1;1;0;5;1;1;3;4;3;1;3;3;1;0;0
    42069-Covaleda;812;17;26;21;30;38;42;36;41;41;49;59;63;50;65;64;47;48;40;23;10;2
    42070-Cubilla;13;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;5;2;0;2;0;0
    42071-Cubo de la Solana;83;2;1;1;1;6;2;1;0;3;6;7;6;6;8;2;8;11;8;3;1;0
    42073-Cueva de Ágreda;27;0;0;0;0;0;0;1;0;1;5;1;2;1;2;5;4;1;1;2;1;0
    42075-Dévanos;34;0;0;0;0;0;0;1;1;4;2;2;1;1;1;4;4;4;5;2;1;1
    42076-Deza;102;1;1;1;4;3;6;4;3;1;3;8;7;6;8;10;13;15;5;0;2;1
    42078-Duruelo de la Sierra;534;9;12;16;28;19;27;26;32;31;40;33;39;30;29;32;45;31;31;18;5;1
    42079-Escobosa de Almazán;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;1;0;0;0
    42080-Espeja de San Marcelino;64;1;2;2;1;3;3;1;2;2;5;6;6;3;4;3;7;5;2;4;1;1
    42081-Espejón;75;2;5;4;3;5;0;4;1;7;7;3;2;3;5;5;6;0;8;4;1;0
    42082-Estepa de San Juan;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
    42083-Frechilla de Almazán;11;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;3;4;0;0;0
    42084-Fresno de Caracena;7;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0
    42085-Fuentearmegil;76;0;0;0;0;1;1;3;3;4;1;4;2;7;6;5;13;8;11;6;0;1
    42086-Fuentecambrón;13;0;0;0;0;1;1;0;0;0;0;3;3;0;0;0;2;3;0;0;0;0
    42087-Fuentecantos;30;0;2;4;2;1;2;0;1;4;2;4;1;1;3;1;1;0;1;0;0;0
    42088-Fuentelmonge;25;0;0;0;0;1;2;2;0;1;1;1;1;1;2;3;4;3;2;0;0;1
    42089-Fuentelsaz de Soria;33;1;1;0;1;2;1;2;1;0;1;6;3;1;2;3;1;4;2;1;0;0
    42090-Fuentepinilla;31;0;0;0;0;0;0;1;0;0;2;3;2;1;5;0;8;3;3;1;2;0
    42092-Fuentes de Magaña;26;0;0;1;0;0;0;0;2;1;2;2;1;2;4;2;0;3;4;1;1;0
    42093-Fuentestrún;14;0;0;0;0;1;1;0;1;1;1;3;3;0;0;1;0;0;2;0;0;0
    42094-Garray;337;21;20;15;12;16;13;20;35;33;29;27;19;22;13;17;12;7;6;0;0;0
    42095-Golmayo;1,257;74;108;109;84;29;41;65;115;162;127;110;65;50;39;19;15;16;18;10;1;0
    42096-Gómara;141;3;4;7;4;3;5;1;4;9;9;11;5;13;14;4;8;12;15;6;4;0
    42097-Gormaz;4;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
    42098-Herrera de Soria;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
    42100-Hinojosa del Campo;11;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;4;2;0;0;0
    42103-Langa de Duero;317;10;13;17;10;8;11;17;21;22;16;19;22;17;14;29;22;18;17;11;3;0
    42105-Liceras;24;0;1;0;1;0;2;0;0;0;3;2;1;0;2;3;2;2;4;0;1;0
    42106-Losilla, La;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
    42107-Magaña;30;0;0;1;0;0;3;1;2;0;3;0;3;3;1;0;4;1;4;2;1;1
    42108-Maján;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0
    42110-Matalebreras;26;0;0;1;2;1;2;2;0;1;1;2;1;4;1;3;2;0;1;2;0;0
    42111-Matamala de Almazán;136;1;1;3;2;6;7;5;6;4;8;7;8;4;8;6;10;19;16;9;4;2
    42113-Medinaceli;350;10;14;9;15;20;16;12;19;25;31;23;25;24;17;11;13;21;24;13;5;3
    42115-Miño de Medinaceli;37;0;0;1;3;1;1;1;1;3;4;4;6;3;1;2;2;3;0;1;0;0
    42116-Miño de San Esteban;16;0;0;0;0;0;1;0;0;3;1;0;1;0;0;1;1;3;2;1;2;0
    42117-Molinos de Duero;73;3;4;3;2;4;2;2;6;8;3;3;4;6;7;3;2;3;6;2;0;0
    42118-Momblona;7;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2;1;0;0;0
    42119-Monteagudo de las Vicarías;92;4;4;3;2;1;4;7;4;3;3;4;4;3;6;6;7;8;10;6;3;0
    42120-Montejo de Tiermes;55;0;1;1;2;0;0;3;1;2;3;6;5;5;4;4;2;7;5;2;1;1
    42121-Montenegro de Cameros;21;0;0;1;0;1;1;0;0;2;0;0;1;1;4;4;3;0;2;1;0;0
    42123-Morón de Almazán;93;3;3;1;1;1;3;2;1;1;12;6;4;3;6;4;9;14;10;5;4;0
    42124-Muriel de la Fuente;26;0;0;0;0;0;1;2;1;1;2;1;2;4;2;1;3;1;3;0;2;0
    42125-Muriel Viejo;29;0;1;1;2;1;0;1;0;3;2;4;1;1;2;3;2;1;1;2;1;0
    42127-Nafría de Ucero;15;0;0;0;1;0;1;0;0;2;1;1;1;1;3;1;0;0;2;1;0;0
    42128-Narros;22;0;0;0;0;1;1;0;1;0;2;1;2;2;0;1;1;5;3;2;0;0
    42129-Navaleno;362;5;7;11;16;24;24;12;20;19;23;31;34;20;21;23;22;22;18;9;1;0
    42130-Nepas;15;0;0;0;0;0;0;0;0;3;0;0;2;0;3;2;2;2;1;0;0;0
    42131-Nolay;26;0;0;2;1;0;2;1;2;1;0;1;2;1;3;0;5;0;3;1;1;0
    42132-Noviercas;68;1;0;3;2;2;0;1;3;3;4;9;4;2;4;4;5;10;6;1;3;1
    42134-Ólvega;1,754;73;102;93;84;91;81;102;103;169;140;135;110;103;81;74;75;61;49;23;5;0
    42135-Oncala;32;0;2;1;0;0;1;1;1;2;0;2;3;1;1;2;4;4;5;1;1;0
    42139-Pinilla del Campo;9;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;1;1;0;1;0
    42140-Portillo de Soria;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;0
    42141-Póveda de Soria, La;49;2;0;0;0;1;5;1;4;2;3;2;4;2;6;4;4;0;4;4;1;0
    42142-Pozalmuro;29;0;1;3;4;1;0;1;1;3;3;3;0;1;1;3;1;2;0;1;0;0
    42144-Quintana Redonda;215;7;4;8;1;6;15;11;16;9;13;11;18;18;11;13;16;12;14;7;5;0
    42145-Quintanas de Gormaz;56;0;1;0;0;3;2;0;2;1;7;8;4;1;1;5;6;8;6;1;0;0
    42148-Quiñonería;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0
    42149-Rábanos, Los;196;6;6;7;11;5;2;9;10;19;19;14;10;9;12;20;9;11;10;6;1;0
    42151-Rebollar;22;0;1;0;4;0;2;0;0;1;2;2;1;1;1;1;0;3;1;1;1;0
    42152-Recuerda;33;0;2;0;3;0;0;0;1;3;4;3;1;4;2;3;1;4;0;2;0;0
    42153-Rello;5;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1
    42154-Renieblas;41;0;3;0;2;3;1;1;4;1;3;4;5;3;3;1;2;3;2;0;0;0
    42155-Retortillo de Soria;62;0;0;0;0;1;1;1;0;0;4;3;5;4;4;5;4;12;8;4;5;1
    42156-Reznos;10;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;2;0;1;1;0;0
    42157-Riba de Escalote, La;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
    42158-Rioseco de Soria;50;1;2;2;4;3;2;1;0;1;6;2;4;2;3;1;6;5;2;3;0;0
    42159-Rollamienta;13;0;0;0;0;0;0;1;0;0;0;3;0;4;0;0;2;1;1;1;0;0
    42160-Royo, El;121;1;7;1;2;3;5;4;4;9;5;9;14;10;7;10;6;7;14;2;1;0
    42161-Salduero;65;1;0;1;2;0;2;4;2;4;2;8;6;3;3;6;4;7;5;3;0;2
    42162-San Esteban de Gormaz;1,429;42;40;56;75;77;73;55;68;89;99;114;118;74;72;67;69;80;91;45;20;5
    42163-San Felices;19;0;0;0;0;0;0;0;1;2;4;3;1;3;0;0;2;1;1;0;1;0
    42164-San Leonardo de Yagüe;1,006;32;41;38;42;52;47;54;68;70;68;76;88;60;50;56;49;48;41;23;3;0
    42165-San Pedro Manrique;272;21;7;15;10;16;17;21;17;20;17;19;18;10;14;10;9;11;11;7;2;0
    42166-Santa Cruz de Yanguas;23;0;1;1;0;1;0;1;2;0;2;2;2;2;1;0;2;2;1;1;2;0
    42167-Santa María de Huerta;119;1;2;2;5;3;4;3;8;5;9;9;7;10;7;11;4;13;11;5;0;0
    42168-Santa María de las Hoyas;40;0;0;0;0;2;1;0;0;1;1;4;3;5;3;1;7;3;6;3;0;0
    42171-Serón de Nágima;51;2;1;0;1;1;0;1;2;1;4;0;1;3;5;6;4;6;6;6;0;1
    42172-Soliedra;14;0;1;0;2;1;0;0;0;0;1;1;0;1;2;1;1;3;0;0;0;0
    42173-Soria;20,819;873;927;984;999;1,022;1,024;1,170;1,377;1,496;1,529;1,677;1,564;1,323;1,078;872;750;845;730;430;134;15
    42174-Sotillo del Rincón;90;1;2;2;1;4;3;1;6;5;5;6;13;6;6;7;7;7;4;2;1;1
    42175-Suellacabras;10;0;0;1;2;0;0;0;1;2;0;0;1;0;0;1;0;1;1;0;0;0
    42176-Tajahuerce;12;0;0;0;0;0;1;0;0;0;0;3;2;1;0;1;1;3;0;0;0;0
    42177-Tajueco;29;0;0;0;1;1;1;1;1;0;0;3;2;1;1;1;4;4;3;1;4;0
    42178-Talveila;42;0;0;0;0;0;0;1;0;0;1;3;0;4;2;4;10;5;8;3;0;1
    42181-Tardelcuende;202;7;6;1;3;5;5;10;11;11;8;14;20;12;8;14;15;19;22;6;4;1
    42182-Taroda;22;0;0;0;1;0;0;0;1;1;0;2;1;1;1;3;3;3;2;2;1;0
    42183-Tejado;46;0;0;0;1;0;3;2;0;1;0;1;2;5;3;7;5;4;7;5;0;0
    42184-Torlengua;26;0;0;0;0;0;1;2;0;1;5;0;1;2;1;2;1;4;3;3;0;0
    42185-Torreblacos;12;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;2;0;2;1;0
    42187-Torrubia de Soria;19;0;0;0;0;0;0;1;1;1;3;0;0;3;3;0;4;1;1;0;1;0
    42188-Trévago;25;0;0;0;0;2;0;0;1;2;1;2;3;2;5;0;2;2;0;1;2;0
    42189-Ucero;24;0;1;0;0;0;3;2;1;1;1;3;1;3;3;0;1;3;1;0;0;0
    42190-Vadillo;46;1;0;0;2;2;0;2;1;0;1;5;5;4;2;4;2;4;7;3;1;0
    42191-Valdeavellano de Tera;87;2;3;1;1;2;4;1;5;7;4;10;4;7;5;4;5;8;9;4;1;0
    42192-Valdegeña;10;0;0;0;0;0;0;0;0;0;0;1;2;2;0;1;1;2;1;0;0;0
    42193-Valdelagua del Cerro;7;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;2;0;0;0;0
    42194-Valdemaluque;83;0;1;1;0;3;1;0;1;4;4;5;4;4;3;4;9;16;12;9;2;0
    42195-Valdenebro;47;0;1;0;1;0;2;3;3;2;4;4;2;4;1;4;2;3;4;4;2;1
    42196-Valdeprado;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
    42197-Valderrodilla;32;0;0;0;2;0;0;2;2;0;2;2;4;2;4;2;4;2;2;1;1;0
    42198-Valtajeros;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;1;0
    42200-Velamazán;26;0;0;1;0;0;0;0;0;1;2;1;2;2;4;1;0;4;5;3;0;0
    42201-Velilla de la Sierra;9;0;0;0;0;0;1;0;0;0;0;1;4;2;1;0;0;0;0;0;0;0
    42202-Velilla de los Ajos;10;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;2;1;2;0;0;0
    42204-Viana de Duero;15;0;0;0;0;0;1;0;0;1;1;1;2;2;1;1;2;0;0;1;1;1
    42205-Villaciervos;34;0;0;0;1;1;0;0;1;2;2;3;1;2;3;5;4;5;4;0;0;0
    42206-Villanueva de Gormaz;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
    42207-Villar del Ala;24;0;0;0;3;1;1;0;1;0;2;4;3;3;0;1;2;0;2;0;1;0
    42208-Villar del Campo;8;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0
    42209-Villar del Río;54;0;0;0;0;3;1;0;4;1;4;6;6;7;5;4;3;4;5;0;1;0
    42211-Villares de Soria, Los;39;0;2;1;2;0;1;3;2;2;1;3;3;1;2;4;6;4;0;0;1;1
    42212-Villasayas;23;0;1;2;0;0;0;1;4;2;1;2;2;2;2;0;3;0;1;0;0;0
    42213-Villaseca de Arciel;12;0;2;0;0;0;0;0;0;1;0;0;0;1;0;4;0;1;0;2;1;0
    42215-Vinuesa;396;13;16;12;15;12;23;21;23;25;26;25;39;25;18;17;26;20;26;11;2;1
    42216-Vizmanos;8;0;0;0;0;0;1;0;0;1;0;0;0;0;4;0;1;0;0;0;0;1
    42217-Vozmediano;14;0;0;0;1;0;0;0;0;0;2;0;2;0;1;1;0;2;3;2;0;0
    42218-Yanguas;38;3;2;1;2;1;1;5;0;2;3;4;1;4;1;2;2;0;2;1;1;0
    42219-Yelo;16;0;0;0;0;0;0;0;0;1;3;1;0;1;3;1;0;1;3;1;1;0
    43001-Aiguamúrcia;436;23;28;20;15;20;24;30;27;34;28;26;30;37;20;23;20;8;12;7;4;0
    43002-Albinyana;1,195;48;59;60;63;61;48;60;96;119;93;89;67;77;61;74;44;37;27;9;1;2
    43003-Albiol, L';232;5;16;19;14;13;10;10;21;25;21;15;12;18;9;8;7;2;7;0;0;0
    43004-Alcanar;4,670;197;238;204;192;226;228;278;343;381;350;348;327;297;228;233;206;163;135;77;17;2
    43005-Alcover;2,565;141;140;161;115;154;120;139;177;220;195;191;190;121;131;118;88;66;71;21;4;2
    43904-Aldea, L';1,963;87;99;90;80;114;99;117;163;130;129;142;129;113;100;101;85;92;57;32;3;1
    43006-Aldover;437;13;11;17;21;21;15;15;19;46;40;22;31;22;31;35;23;21;18;13;3;0
    43007-Aleixar, L';423;19;13;34;25;27;23;16;27;34;38;31;39;12;21;19;15;9;11;7;2;1
    43008-Alfara de Carles;178;6;5;7;12;5;3;8;16;17;10;10;10;10;12;17;12;9;8;1;0;0
    43009-Alforja;880;42;33;51;31;39;53;50;57;69;57;65;79;62;45;37;35;25;39;9;2;0
    43010-Alió;231;15;17;10;12;13;12;16;14;18;18;13;14;18;7;14;5;2;10;2;1;0
    43011-Almoster;671;21;28;40;47;49;38;30;33;52;69;63;59;42;29;26;15;12;12;6;0;0
    43012-Altafulla;2,688;140;167;165;137;119;109;125;185;243;199;218;197;194;149;116;80;56;51;23;7;8
    43013-Ametlla de Mar, L';3,403;133;152;173;173;154;141;181;227;269;240;256;217;203;224;226;154;123;93;48;15;1
    43906-Ampolla, L';1,574;67;59;68;49;61;67;85;117;127;97;106;124;105;107;131;71;64;41;23;5;0
    43014-Amposta;10,289;475;523;586;502;509;509;579;780;902;793;763;649;599;546;472;347;341;266;116;28;4
    43016-Arboç, L';2,665;148;176;169;140;143;131;169;204;231;190;198;166;115;111;107;89;93;58;19;7;1
    43015-Arbolí;58;3;1;0;0;1;1;6;5;7;5;4;3;5;4;4;3;2;3;0;1;0
    43017-Argentera, L';54;0;2;2;1;2;2;2;2;1;4;7;3;6;3;3;3;4;4;2;0;1
    43018-Arnes;231;6;11;4;7;9;12;11;6;13;16;17;12;18;16;19;17;13;13;8;3;0
    43019-Ascó;804;29;32;30;26;51;52;50;60;49;30;68;65;55;57;43;30;30;24;19;4;0
    43020-Banyeres del Penedès;1,558;63;98;116;89;77;65;67;130;156;132;132;88;72;76;76;46;29;24;19;3;0
    43021-Barberà de la Conca;216;8;18;11;4;4;6;12;11;21;22;14;10;11;12;13;11;11;8;7;1;1
    43022-Batea;946;36;52;33;42;40;39;40;58;63;54;67;57;60;69;60;47;44;48;33;4;0
    43023-Bellmunt del Priorat;135;1;2;5;5;5;5;7;10;5;9;10;11;15;10;11;7;8;6;3;0;0
    43024-Bellvei;1,071;54;50;87;59;50;63;54;80;105;92;76;56;48;45;49;39;32;24;7;0;1
    43025-Benifallet;391;18;5;10;12;24;15;19;23;16;29;19;38;30;25;34;19;20;22;8;5;0
    43026-Benissanet;515;20;22;27;22;18;19;26;38;35;36;47;31;30;29;31;31;22;18;10;3;0
    43027-Bisbal de Falset, La;100;4;1;5;4;2;2;5;5;4;5;10;9;9;4;10;8;7;4;1;1;0
    43028-Bisbal del Penedès, La;1,666;66;74;90;82;81;66;70;138;151;150;125;107;101;91;107;67;36;40;21;3;0
    43029-Blancafort;191;8;7;8;7;8;8;13;7;12;14;16;12;14;10;4;10;10;15;5;3;0
    43030-Bonastre;331;26;20;17;11;15;14;24;35;28;27;17;23;22;19;12;10;4;3;4;0;0
    43031-Borges del Camp, Les;987;31;53;69;55;43;43;45;85;98;57;72;55;61;63;45;39;27;25;15;6;0
    43032-Bot;278;10;7;4;13;9;10;15;12;13;21;17;18;20;27;25;15;18;18;5;0;1
    43033-Botarell;519;29;31;40;24;18;20;23;41;64;38;43;41;29;19;22;16;11;6;3;1;0
    43034-Bràfim;335;16;24;14;9;11;18;23;26;28;24;21;18;13;19;23;14;13;11;8;1;1
    43035-Cabacés;143;4;8;14;5;5;8;7;5;11;3;12;7;11;8;13;4;6;8;4;0;0
    43036-Cabra del Camp;555;20;30;28;32;27;26;28;43;50;47;50;35;28;29;32;21;10;12;3;4;0
    43037-Calafell;13,176;550;634;661;646;552;593;769;972;1,176;1,090;994;862;851;848;765;479;339;246;113;30;6
    43903-Camarles;1,586;58;73;67;69;91;72;88;100;119;131;104;105;88;76;86;73;85;66;29;6;0
    43038-Cambrils;17,345;817;1,011;1,029;905;792;780;1,026;1,358;1,696;1,522;1,293;1,093;962;899;751;549;396;286;136;40;4
    43907-Canonja, La;3,001;139;192;206;158;145;163;198;257;269;219;221;174;162;137;114;93;74;49;24;6;1
    43039-Capafonts;59;2;3;2;5;0;5;3;4;7;5;3;4;1;5;1;2;4;3;0;0;0
    43040-Capçanes;196;8;11;5;3;8;4;11;17;16;15;14;11;16;13;12;8;12;5;5;1;1
    43041-Caseres;130;2;6;5;5;6;5;5;6;9;5;8;12;11;14;8;11;3;4;4;1;0
    43042-Castellvell del Camp;1,419;38;72;107;107;87;66;73;71;110;133;134;134;88;70;42;34;32;12;7;2;0
    43043-Catllar, El;2,142;91;112;152;96;102;106;112;149;192;214;186;174;140;98;78;51;44;25;15;3;2
    43045-Colldejou;83;7;3;1;3;5;3;6;7;8;2;4;3;10;8;4;2;2;2;3;0;0
    43046-Conesa;49;0;1;0;2;3;3;1;3;0;4;4;4;8;4;4;1;3;3;0;1;0
    43047-Constantí;3,142;172;214;204;170;160;182;211;242;292;254;198;173;172;138;110;95;80;44;26;5;0
    43048-Corbera d'Ebre;485;10;22;17;27;26;24;26;19;35;30;36;42;24;33;32;22;22;26;8;4;0
    43049-Cornudella de Montsant;436;18;16;19;16;12;21;25;26;37;32;41;29;27;19;30;16;21;22;6;2;1
    43050-Creixell;1,797;79;91;81;81;74;77;107;133;131;121;117;118;118;133;109;67;71;57;21;7;4
    43051-Cunit;6,605;254;338;384;334;282;293;332;444;554;540;416;428;431;445;412;294;196;152;57;17;2
    43901-Deltebre;5,694;222;266;287;241;244;263;341;422;452;411;379;411;356;338;329;231;208;192;92;9;0
    43053-Duesaigües;105;1;4;5;4;3;6;6;7;8;5;5;7;14;4;8;4;3;9;2;0;0
    43054-Espluga de Francolí, L';1,931;87;78;104;85;89;106;91;134;125;148;134;139;116;99;90;81;73;87;48;15;2
    43055-Falset;1,422;60;80;71;76;59;81;69;85;106;98;95;114;84;72;78;46;59;42;31;15;1
    43056-Fatarella, La;483;16;16;25;16;16;14;21;16;30;26;26;42;36;35;33;34;27;27;25;2;0
    43057-Febró, La;15;0;0;0;0;1;0;2;0;0;2;2;3;1;0;3;0;0;1;0;0;0
    43058-Figuera, La;48;1;1;0;1;4;2;1;0;3;3;2;5;4;5;6;1;5;4;0;0;0
    43059-Figuerola del Camp;161;2;10;11;14;7;6;11;7;13;9;15;7;10;6;11;5;6;3;8;0;0
    43060-Flix;1,691;37;61;50;64;67;88;88;81;103;114;122;155;128;118;126;80;94;70;30;14;1
