,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
106,,el_masnou,el_masnou,barcelona,barcelona,cataluna,cataluna,el_masnou/barcelona,Barcelona,El Masnou,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
107,,masquefa,masquefa,barcelona,barcelona,cataluna,cataluna,masquefa/barcelona,Barcelona,Masquefa,8838.35,0.8445015189486725,95.0,37.20251666,1.0,0.0,1.0,100.0
108,,matadepera,matadepera,barcelona,barcelona,cataluna,cataluna,matadepera/barcelona,Barcelona,Matadepera,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
109,,mataro,mataro,barcelona,barcelona,cataluna,cataluna,mataro/barcelona,Barcelona,Mataró,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
110,,mediona,mediona,barcelona,barcelona,cataluna,cataluna,mediona/barcelona,Barcelona,Mediona,8838.35,0.8445015189486725,64.44,37.20251666,1.0,0.0,1.0,100.0
111,,molins_de_rei,molins_de_rei,barcelona,barcelona,cataluna,cataluna,molins_de_rei/barcelona,Barcelona,Molins de Rei,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
112,,mollet_del_valles,mollet_del_valles,barcelona,barcelona,cataluna,cataluna,mollet_del_valles/barcelona,Barcelona,Mollet del Vallès,8838.35,0.8445015189486725,80.0,37.20251666,1.0,0.0,0.0,4.0
113,,montcada_i_reixac,montcada_i_reixac,barcelona,barcelona,cataluna,cataluna,montcada_i_reixac/barcelona,Barcelona,Montcada i Reixac,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,25.0
114,,montgat,montgat,barcelona,barcelona,cataluna,cataluna,montgat/barcelona,Barcelona,Montgat,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,4.0
115,,monistrol_de_montserrat,monistrol_de_montserrat,barcelona,barcelona,cataluna,cataluna,monistrol_de_montserrat/barcelona,Barcelona,Monistrol de Montserrat,8838.35,0.8445015189486725,64.0,37.20251666,,,,
116,,muntanyola,muntanyola,barcelona,barcelona,cataluna,cataluna,muntanyola/barcelona,Barcelona,Muntanyola,8838.35,0.8445015189486725,50.83,37.20251666,1.0,0.0,1.0,100.0
117,,montclar,montclar,barcelona,barcelona,cataluna,cataluna,montclar/barcelona,Barcelona,Montclar,8838.35,0.8445015189486725,49.17,37.20251666,1.0,0.0,1.0,100.0
118,,montesquiu,montesquiu,barcelona,barcelona,cataluna,cataluna,montesquiu/barcelona,Barcelona,Montesquiu,8838.35,0.8445015189486725,60.0,37.20251666,1.0,0.0,1.0,100.0
119,,montmajor,montmajor,barcelona,barcelona,cataluna,cataluna,montmajor/barcelona,Barcelona,Montmajor,8838.35,0.8445015189486725,55.42,37.20251666,1.0,0.0,1.0,100.0
120,,figaro_montmany,figaro_montmany,barcelona,barcelona,cataluna,cataluna,figaro_montmany/barcelona,Barcelona,Figaró-Montmany,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,0.0,1.0
121,,montmelo,montmelo,barcelona,barcelona,cataluna,cataluna,montmelo/barcelona,Barcelona,Montmeló,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
