,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,muni_agrup,total_comercios,b_e_industria,f_construccion,comercio_transporte_y_hosteleria,j_informacion_y_comunicaciones,k_actividades_financieras_y_de_seguros,l_actividades_inmobiliarias,actividades_profesionales_y_tecnicas,educacion_sanidad_y_servicios_sociales,otros_servicios_personales,total_servicios,prov_pib
60,caudete,caudete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,caudete/albacete,Albacete,Caudete,caudete/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
61,cenizate,cenizate,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cenizate/albacete,Albacete,Cenizate,cenizate/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
62,corral_rubio,corral_rubio,albacete,albacete,castilla_la_mancha,castilla_la_mancha,corral_rubio/albacete,Albacete,Corral-Rubio,corral_rubio/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
63,cotillas,cotillas,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cotillas/albacete,Albacete,Cotillas,cotillas/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
64,chinchilla_de_monte_aragon,chinchilla_de_monte_aragon,albacete,albacete,castilla_la_mancha,castilla_la_mancha,chinchilla_de_monte_aragon/albacete,Albacete,Chinchilla de Monte-Aragón,chinchilla_de_monte_aragon/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
65,elche_de_la_sierra,elche_de_la_sierra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,elche_de_la_sierra/albacete,Albacete,Elche de la Sierra,elche_de_la_sierra/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
66,ferez,ferez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ferez/albacete,Albacete,Férez,ferez/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
67,fuensanta,fuensanta,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuensanta/albacete,Albacete,Fuensanta,fuensanta/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
68,fuente_alamo,fuente_alamo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuente_alamo/albacete,Albacete,Fuente-Álamo,fuente_alamo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
69,fuentealbilla,fuentealbilla,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuentealbilla/albacete,Albacete,Fuentealbilla,fuentealbilla/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
70,la_gineta,la_gineta,albacete,albacete,castilla_la_mancha,castilla_la_mancha,la_gineta/albacete,Albacete,La Gineta,la_gineta/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
71,golosalvo,golosalvo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,golosalvo/albacete,Albacete,Golosalvo,golosalvo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
72,hellin,hellin,albacete,albacete,castilla_la_mancha,castilla_la_mancha,hellin/albacete,Albacete,Hellín,hellin/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
73,la_herrera,la_herrera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,la_herrera/albacete,Albacete,La Herrera,la_herrera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
74,higueruela,higueruela,albacete,albacete,castilla_la_mancha,castilla_la_mancha,higueruela/albacete,Albacete,Higueruela,higueruela/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
75,hoya_gonzalo,hoya_gonzalo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,hoya_gonzalo/albacete,Albacete,Hoya-Gonzalo,hoya_gonzalo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
76,jorquera,jorquera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,jorquera/albacete,Albacete,Jorquera,jorquera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
77,letur,letur,albacete,albacete,castilla_la_mancha,castilla_la_mancha,letur/albacete,Albacete,Letur,letur/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
78,lezuza,lezuza,albacete,albacete,castilla_la_mancha,castilla_la_mancha,lezuza/albacete,Albacete,Lezuza,lezuza/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
79,lietor,lietor,albacete,albacete,castilla_la_mancha,castilla_la_mancha,lietor/albacete,Albacete,Liétor,lietor/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
80,madrigueras,madrigueras,albacete,albacete,castilla_la_mancha,castilla_la_mancha,madrigueras/albacete,Albacete,Madrigueras,madrigueras/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
81,mahora,mahora,albacete,albacete,castilla_la_mancha,castilla_la_mancha,mahora/albacete,Albacete,Mahora,mahora/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
82,minaya,minaya,albacete,albacete,castilla_la_mancha,castilla_la_mancha,minaya/albacete,Albacete,Minaya,minaya/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
83,molinicos,molinicos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,molinicos/albacete,Albacete,Molinicos,molinicos/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
84,montalvos,montalvos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,montalvos/albacete,Albacete,Montalvos,montalvos/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
85,montealegre_del_castillo,montealegre_del_castillo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,montealegre_del_castillo/albacete,Albacete,Montealegre del Castillo,montealegre_del_castillo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
86,motilleja,motilleja,albacete,albacete,castilla_la_mancha,castilla_la_mancha,motilleja/albacete,Albacete,Motilleja,motilleja/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
