M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
1109,18329153.550000,1024.603910,17848889.930000,961.253800,480263.620000,63.350110,NULL,NULL,634225.840000,65.551280,5671604.720000,327.243210,6152067.000000,344.245010,4163051.720000,212.805260,1652521.230000,71.759150,NULL,NULL,1,4,2,2,2010,190
1120,18468255.690000,973.552100,17956002.760000,915.732470,512252.930000,57.819630,NULL,NULL,329611.190000,39.979840,5430347.080000,307.140380,6496797.330000,336.650360,4227752.470000,207.396490,1945986.900000,79.820410,37760.720000,2.564620,1,4,2,2,2011,190
1019,16652345.460000,920.032000,16127422.690000,862.315200,524922.770000,57.716800,NULL,NULL,244741.220000,32.110330,4847628.710000,275.018640,5946364.670000,320.741650,4128423.410000,206.035540,1459728.880000,85.125840,NULL,NULL,1,4,2,2,2012,190
985,17097844.560000,912.706120,16614403.540000,845.293500,483441.020000,67.412620,NULL,NULL,254898.630000,31.295550,4211601.140000,252.202890,6202017.050000,334.361100,4461235.930000,206.793950,1967439.850000,86.697930,412.560000,0.354700,1,4,2,2,2013,190
946,15383380.250000,853.475620,14931047.360000,794.541930,452332.890000,58.933690,NULL,NULL,191185.030000,33.483090,3445075.500000,202.165770,6119617.910000,321.208480,3851709.490000,200.042750,1760490.180000,92.575530,NULL,NULL,1,4,2,2,2014,190
853,15438452.280000,773.122080,14989054.550000,734.278050,449397.730000,38.844030,NULL,NULL,266175.910000,27.954020,3250416.990000,184.478380,6082844.880000,288.073410,3859727.920000,180.489290,1961523.830000,90.126980,NULL,NULL,1,4,2,2,2015,190
866,16575843.570000,804.943300,16101840.730000,772.169570,474002.840000,32.773730,NULL,NULL,381904.100000,36.439140,3125536.040000,170.541050,6651426.630000,299.590900,4311028.640000,204.367070,2092315.100000,90.005140,NULL,NULL,1,4,2,2,2016,190
11941,183305145.640000,10295.107390,163958740.410000,8512.096960,19346405.230000,1783.010430,245516.500000,45.742380,12900391.020000,1295.686710,49233951.580000,3250.326980,51953329.400000,2734.570780,44742363.830000,1877.623360,23859922.920000,1065.126600,369670.390000,26.030580,1,4,3,1,2009,190
10466,163678182.360000,9126.782690,147741869.710000,7593.801560,15936312.650000,1532.981130,168566.110000,23.830360,9313240.690000,1005.292770,41896134.410000,2769.947740,48653360.500000,2551.602570,41296538.210000,1766.525150,21840327.710000,979.171870,510014.730000,30.412230,1,4,3,1,2010,190
9833,154225884.280000,8507.059610,139763025.520000,7196.289320,14462858.760000,1310.770290,128998.510000,11.693600,8363409.820000,874.669360,37800559.960000,2475.988010,47434189.440000,2487.652960,38870500.390000,1704.035500,21255605.370000,926.961480,372620.790000,26.058700,1,4,3,1,2011,190
8706,136989452.340000,7620.561930,125267373.730000,6528.815320,11722078.610000,1091.746610,108011.090000,12.198060,6277237.990000,695.749750,32091370.680000,2179.179760,43042047.150000,2279.823690,35169532.830000,1554.310780,20080367.950000,880.582280,220884.650000,18.717610,1,4,3,1,2012,190
7982,124245003.010000,6909.035940,115084135.330000,6061.754960,9160867.680000,847.280980,86242.800000,13.000000,4518736.220000,561.038720,27786191.910000,1927.042060,39755618.150000,2110.541040,33027280.580000,1469.446540,18922399.770000,815.459570,148533.580000,12.508010,1,4,3,1,2013,190
8899,135948357.200000,7597.372440,126024397.850000,6647.352980,9923959.350000,950.019460,87905.850000,18.067710,4686981.940000,617.942360,29185181.790000,2034.755850,43713203.190000,2342.642550,36991050.070000,1699.202240,21114740.100000,871.678990,169294.260000,13.082740,1,4,3,1,2014,190
9146,137639711.220000,7562.746400,127410865.500000,6638.026580,10228845.720000,924.719820,79981.280000,16.359230,4799706.280000,624.135580,27987780.360000,1955.180200,43861093.210000,2331.893150,38062248.370000,1750.430530,22528047.360000,863.264850,320854.360000,21.482860,1,4,3,1,2015,190
10081,148711939.290000,8210.575940,136515973.240000,7135.290110,12195966.050000,1075.285830,87499.670000,26.812950,5987599.440000,722.770340,30078657.600000,2054.781100,47841169.080000,2560.385670,40917635.500000,1890.567280,23380437.380000,930.356260,418940.620000,24.902340,1,4,3,1,2016,190
