,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
169,jijona,alicante,"3,779,117","1,992",187,11,16,944,32,26,7,1
170,lorcha,alicante,"241,516",34,2,1,0,91,4,3,1,1
171,lliber,alicante,"971,719",34,5,2,2,57,7,1,1,0
172,millena,alicante,"59,223",3,1,1,2,35,1,0,1,0
173,monforte_del_cid,alicante,"7,431,168",442,180,7,13,541,19,24,6,2
174,monovar,alicante,"1,832,201",875,271,15,21,"1,102",47,72,12,1
175,mutxamel,alicante,"10,174,627","3,629",535,9,306,420,53,73,2,2
176,murla,alicante,"372,536",28,2,2,1,9,2,0,1,0
177,muro_de_alcoy,alicante,"1,982,516","1,887",226,9,78,472,18,27,6,3
178,novelda,alicante,"3,545,461","3,631",921,30,21,"1,529",31,89,13,5
179,nucia,alicante,"7,809,971","1,460",417,3,175,572,48,42,3,0
180,ondara,alicante,"944,896","1,305",286,6,39,192,6,28,7,3
181,onil,alicante,"1,392,620","1,547",258,8,8,215,12,26,2,0
182,orba,alicante,"1,152,237",249,28,5,9,150,10,2,2,0
183,orxeta,alicante,"430,153",96,8,1,5,44,2,1,3,0
184,orihuela,alicante,"28,017,006","18,808","3,549",69,553,"1,654",280,308,55,9
185,parcent,alicante,"247,765",81,7,5,3,68,3,2,1,0
186,pedreguer,alicante,"2,824,427","1,725",112,7,97,176,9,26,3,1
187,pego,alicante,"4,818,992","2,755",259,8,56,233,14,49,8,3
188,penaguila,alicante,"344,258",1,1,1,1,141,4,0,2,0
189,petrer,alicante,"5,198,088","4,181","1,192",40,34,"1,112",49,79,9,144
190,pinos,alicante,"1,222,870","1,051",142,9,20,687,27,38,7,1
191,planes,alicante,"617,241",29,2,3,3,168,10,2,5,1
192,polop,alicante,"2,733,872",876,82,2,56,348,26,9,5,1
193,rafal,alicante,"454,082",525,295,3,6,202,7,3,1,2
194,rafol_d_almunia,alicante,"903,479",7,1,2,1,80,5,2,1,0
195,redovan,alicante,"2,045,501",754,239,13,5,303,24,15,2,2
196,relleu,alicante,"462,318",74,11,4,9,93,5,5,3,0
197,rojales,alicante,"9,559,623",817,482,9,43,442,41,46,1,1
198,romana,alicante,"1,634,432",216,26,2,33,334,23,7,2,0
199,sagra,alicante,"255,661",62,1,1,1,11,3,2,1,0
200,salinas,alicante,"635,132",122,31,3,3,266,11,3,3,0
201,sanet_y_negrals,alicante,"232,296",11,1,1,3,83,2,0,1,0
202,san_fulgencio,alicante,"3,423,249",671,421,2,40,134,9,26,1,2
203,sant_joan_d_alacant,alicante,"4,712,079","6,869",663,16,32,572,42,81,3,1
204,san_miguel_de_salinas,alicante,"2,254,984","1,287",170,7,84,125,21,11,2,1
205,santa_pola,alicante,"8,588,951","10,270","1,467",16,64,881,32,110,5,4
206,san_vicente_del_raspeig,alicante,"12,342,153","14,412","1,691",547,219,"1,836",77,148,5,29
207,sax,alicante,"2,506,276","1,893",356,8,27,261,477,73,5,4
208,sella,alicante,"154,655",61,3,1,0,3,1,0,1,0
209,senija,alicante,"141,731",1,1,1,0,68,1,3,2,0
210,tarbena,alicante,"140,697",70,6,1,5,87,2,2,1,0
211,teulada,alicante,"8,446,827","2,257",733,6,92,276,62,76,7,2
212,tibi,alicante,"1,230,902",243,17,5,3,168,10,1,3,0
213,tollos,alicante,"12,004",2,0,1,1,12,2,1,1,0
214,tormos,alicante,"644,479",4,0,1,0,34,10,1,1,0
215,torremanzanas,alicante,"269,824",234,7,1,4,19,5,0,1,0
216,torrevieja,alicante,"16,557,201","38,811","3,382",32,332,"3,726",81,339,14,8
217,vall_d_alcala,alicante,"39,308",14,0,1,2,13,1,0,3,0
