,ine_code,postal_code,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province_es,cities_es/province,cities_es/ccaa_es,cities_es/ccaa,cities/province_es,province_es/ccaa_es,province_es/ccaa,province/ccaa_es,province/ccaa
131,01902,01423,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta,ribera_alta,ribera_alta,ribera_alta,erriberagoitia,alava,alava,araba,araba
132,02001,02250,abengibre,abengibre,albacete,albacete,castilla_la_mancha,castilla_la_mancha,abengibre,abengibre,abengibre,abengibre,abengibre,albacete,albacete,albacete,albacete
133,02002,02152,alatoz,alatoz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alatoz,alatoz,alatoz,alatoz,alatoz,albacete,albacete,albacete,albacete
134,02003,,,,,,,,,,,,,,,,
135,02003,02140,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
136,02003,02155,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
137,02003,02328,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
138,02003,02512,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
139,02003,02071,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
140,02003,02511,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
141,02003,02008,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
142,02003,02006,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
143,02003,02005,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
144,02003,02004,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
145,02003,02003,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete,albacete
