,cp,municipio,provincia,ccaa
5518,27673,pedrafita_do_cebreiro,lugo,galicia
5519,27675,as_nogais,lugo,galicia
5520,27676,as_nogais,lugo,galicia
5521,27677,becerrea,lugo,galicia
5522,27678,becerrea,lugo,galicia
5523,27679,becerrea,lugo,galicia
5524,27680,baralla,lugo,galicia
5525,27685,baralla,lugo,galicia
5526,27686,baralla,lugo,galicia
5527,27687,baralla,lugo,galicia
5528,27688,baralla,lugo,galicia
5529,27689,baralla,lugo,galicia
5530,27690,sarria,lugo,galicia
5531,27691,lancara,lugo,galicia
5532,27692,lancara,lugo,galicia
5533,27693,lancara,lugo,galicia
5534,27694,becerrea,lugo,galicia
5535,27695,becerrea,lugo,galicia
5536,27696,baralla,lugo,galicia
5537,27697,baralla,lugo,galicia
5538,27698,becerrea,lugo,galicia
5539,27699,lancara,lugo,galicia
5540,27700,ribadeo,lugo,galicia
5541,27710,ribadeo,lugo,galicia
5542,27711,ribadeo,lugo,galicia
5543,27712,ribadeo,lugo,galicia
5544,27713,ribadeo,lugo,galicia
5545,27714,ribadeo,lugo,galicia
5546,27715,ribadeo,lugo,galicia
5547,27720,a_pontenova,lugo,galicia
5548,27721,a_pontenova,lugo,galicia
5549,27722,a_pontenova,lugo,galicia
5550,27723,a_pontenova,lugo,galicia
5551,27724,a_pontenova,lugo,galicia
5552,27725,a_pontenova,lugo,galicia
5553,27726,a_pontenova,lugo,galicia
5554,27727,a_pontenova,lugo,galicia
5555,27728,a_pontenova,lugo,galicia
5556,27729,a_pontenova,lugo,galicia
5557,27730,abadin,lugo,galicia
5558,27737,abadin,lugo,galicia
5559,27738,abadin,lugo,galicia
5560,27740,mondonedo,lugo,galicia
5561,27742,mondonedo,lugo,galicia
5562,27743,riotorto,lugo,galicia
5563,27744,riotorto,lugo,galicia
5564,27745,riotorto,lugo,galicia
5565,27747,mondonedo,lugo,galicia
5566,27748,mondonedo,lugo,galicia
5567,27749,mondonedo,lugo,galicia
5568,27750,lourenza,lugo,galicia
5569,27751,lourenza,lugo,galicia
5570,27752,mondonedo,lugo,galicia
5571,27760,lourenza,lugo,galicia
5572,27765,trabada,lugo,galicia
5573,27766,trabada,lugo,galicia
5574,27767,trabada,lugo,galicia
5575,27768,trabada,lugo,galicia
5576,27770,o_valadouro,lugo,galicia
5577,27773,alfoz,lugo,galicia
5578,27774,alfoz,lugo,galicia
5579,27775,alfoz,lugo,galicia
5580,27776,alfoz,lugo,galicia
5581,27777,o_valadouro,lugo,galicia
5582,27778,alfoz,lugo,galicia
