CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
13111,ARRIGORRIAGA,43.21006,-2.88857,48480.0,arrigorriaga,bizkaia,espana,SI,NO,,,,,,
5543,ARRIONDAS,43.387513,-5.188258,33540.0,parres,asturias,espana,NO,SI,,,,,,
35402,ARROYO DE MALPARTIDA,39.46807329999999,-6.5344525,10910.0,caceres,caceres,espana,NO,NO,,,,,,
5469,ARTXUBE,43.201091,-3.071677,48840.0,guenes,bizkaia,espana,NO,SI,,,,,,
5489,ARTZENTALES,43.235863,-3.2132330000000002,48879.0,artzentales,bizkaia,espana,NO,SI,,,,,,
22108,AS NEVES,42.075435299999995,-8.4201118,36440.0,"neves, as",pontevedra,espana,NO,NO,,,,,,
70002,ASAMBLEA DE MADRID-ENTREVIAS,40.3814976,-3.667215,28018.0,madrid,madrid,espana,SI,NO,,,,,,
71211,ASCO,41.18235870000001,0.5690063,43791.0,asco,tarragona,espana,NO,NO,,,,,,
5657,ASTILLERO,43.403620000000004,-3.8206230000000003,39610.0,"astillero, el",cantabria,espana,NO,SI,,,,,,
20100,ASTORGA,42.4594174,-6.0471732000000005,24700.0,astorga,leon,espana,NO,NO,12 H.,Venta de Billetes,Si,Si,Si,Si
70504,ATECA,41.3245706,-1.7852674,50200.0,ateca,zaragoza,espana,NO,NO,,,,,,
11513,ATEGORRIETA,43.32031,-1.9598349999999998,20013.0,donostia/san sebastian,gipuzkoa,espana,SI,NO,,,,,,
13207,AUTONOMIA,43.258205,-2.945869,48010.0,bilbao,bizkaia,espana,SI,NO,,,,,,
5768,AVIADOS,42.854774,-5.4428160000000005,24849.0,"vecilla, la",leon,espana,NO,SI,,,,,,
10400,AVILA,40.657203,-4.683319,5001.0,avila,avila,espana,NO,NO,30 m.,Venta de Billetes,Si,Si,Si,Si
16403,AVILES,43.561305,-5.92845,33409.0,aviles,asturias,espana,SI,SI,,,,,,
5221,AVILES-APEADERO,43.554627,-5.917472,33402.0,aviles,asturias,espana,NO,SI,,,,,,
74204,AYERBE,42.275559799999996,-0.682595,22800.0,ayerbe,huesca,espana,NO,NO,,,,,,
70105,AZUQUECA,40.561040000000006,-3.265446,19200.0,azuqueca de henares,guadalajara,espana,SI,NO,,,,,,
20312,BAAMONDE,43.1734198,-7.756363900000001,27371.0,begonte,lugo,espana,NO,NO,,,,,,
34012,BABILAFUENTE,40.9723606,-5.430571,37330.0,babilafuente,salamanca,espana,NO,NO,,,,,,
37606,BADAJOZ,38.890609999999995,-6.9817556,6006.0,badajoz,badajoz,espana,NO,NO,30 m.,Venta de Billetes,Si,Si,Si,Si
79404,BADALONA,41.4458407,2.2488907000000005,8911.0,badalona,barcelona,espana,SI,NO,,,,,,
67015,BADULES,41.1394432,-1.2515629,50491.0,badules,zaragoza,espana,NO,NO,,,,,,
70300,BAIDES,41.004911,-2.785903,19295.0,baides,guadalajara,espana,NO,NO,,,,,,
5361,BAIÑA,43.274489,-5.828259,33682.0,mieres,asturias,espana,NO,SI,,,,,,
13115,BAKIOLA,43.176987,-2.9091080000000002,48498.0,arrankudiaga,bizkaia,espana,SI,NO,,,,,,
77106,BALENYA-ELS HOSTALETS,41.8144863,2.2329795,8554.0,balenya,barcelona,espana,SI,NO,,,,,,
77107,BALENYA-TONA-SEVA,41.8417065,2.2473584,8554.0,seva,barcelona,espana,SI,NO,,,,,,
5263,BALLOTA,43.550955,-6.3227519999999995,33158.0,cudillero,asturias,espana,NO,SI,,,,,,
5483,BALMASEDA,43.196388,-3.189924,48800.0,balmaseda,bizkaia,espana,NO,SI,,,,,,
5565,BALMORI,43.421468,-4.835844,33595.0,llanes,asturias,espana,NO,SI,,,,,,
61303,BALSICAS-MAR MENOR,37.8188201,-0.9509209999999999,30591.0,torre-pacheco,murcia,espana,NO,NO,12 H.,Venta de Billetes,Si,No,Si,Si
21007,BARALLOBRE,43.4628928,-8.188568799999999,15528.0,fene,"coruna, a",espana,NO,NO,,,,,,
22101,BARBANTES,42.33856,-8.011593,32450.0,cenlle,ourense,espana,NO,NO,,,,,,
