poblacion,numero_estaciones,ave,cercanias,feve
caudete,1,NO,NO,NO
limpias,1,NO,NO,SI
mont_roig_del_camp,1,NO,NO,NO
portugalete,1,NO,SI,NO
sant_marti_de_centelles,1,NO,SI,NO
karrantza_harana,1,NO,NO,SI
tudela,1,NO,NO,NO
collado_villalba,1,NO,SI,NO
brenes,1,NO,SI,NO
paracuellos_de_la_ribera,1,NO,NO,NO
figaro_montmany,1,NO,SI,NO
franco_el,1,NO,NO,SI
algeciras,1,NO,NO,NO
alcolea_del_rio,1,NO,SI,NO
urduna,1,NO,SI,NO
nava_del_rey,1,NO,NO,NO
almenara,1,NO,SI,NO
molinos_los,1,NO,SI,NO
puerto_lumbreras,1,NO,SI,NO
zumarraga,1,NO,SI,NO
mataro,1,NO,SI,NO
chiva,1,NO,SI,NO
cantillana,1,NO,SI,NO
moriscos,1,NO,NO,NO
lleida,1,SI,NO,NO
rueda_de_jalon,1,NO,NO,NO
venta_de_banos,1,NO,NO,NO
miranda_de_ebro,1,NO,NO,NO
sant_quirze_de_besora,1,NO,SI,NO
quero,1,NO,NO,NO
vila_seca,1,NO,NO,NO
benifaio,1,NO,SI,NO
mogente,1,NO,SI,NO
guadiana_del_caudillo,1,NO,NO,NO
vilafranca_del_penedes,1,NO,SI,NO
gineta_la,1,NO,NO,NO
lalin,1,NO,NO,NO
san_vicente_del_raspeig,1,NO,SI,NO
salvaterra_de_mino,1,NO,NO,NO
cubelles,1,NO,SI,NO
toral_de_los_vados,1,NO,NO,NO
rajadell,1,NO,NO,NO
salillas_de_jalon,1,NO,NO,NO
manuel,1,NO,SI,NO
agres,1,NO,NO,NO
cella,1,NO,NO,NO
santa_marina_del_rey,1,NO,NO,NO
quintana_redonda,1,NO,NO,NO
san_roque,1,NO,NO,NO
crespos,1,NO,NO,NO
legazpi,1,NO,SI,NO
soria,1,NO,NO,NO
villanueva_de_las_manzanas,1,NO,NO,NO
arboc_l_,1,NO,SI,NO
villanueva_del_rio_y_minas,1,NO,SI,NO
borges_blanques_les,1,NO,NO,NO
badalona,1,NO,SI,NO
toses,1,NO,SI,NO
espeluy,1,NO,NO,NO
zuera,1,NO,NO,NO
alar_del_rey,1,NO,NO,NO
llinars_del_valles,1,NO,SI,NO
gaucin,1,NO,NO,NO
ribas_de_sil,1,NO,NO,NO
coles,1,NO,NO,NO
vilanova_i_la_geltru,1,NO,SI,NO
alegia,1,NO,SI,NO
setenil_de_las_bodegas,1,NO,NO,NO
lezo,1,NO,SI,NO
robledo_de_chavela,1,NO,NO,NO
grisen,1,NO,NO,NO
marca,1,NO,NO,NO
almagro,1,NO,NO,NO
gergal,1,NO,NO,NO
cumbres_mayores,1,NO,NO,NO
bubierca,1,NO,NO,NO
humanes,1,NO,NO,NO
onati,1,NO,SI,NO
fromista,1,NO,NO,NO
pobla_del_duc_la,1,NO,NO,NO
massanassa,1,NO,SI,NO
monreal_de_ariza,1,NO,NO,NO
vimbodi_i_poblet,1,NO,NO,NO
peroxa_a,1,NO,NO,NO
pinto,1,NO,SI,NO
carballeda_de_valdeorras,1,NO,NO,NO
san_pedro_del_arroyo,1,NO,NO,NO
magaz_de_pisuerga,1,NO,NO,NO
santa_maria_de_palautordera,1,NO,SI,NO
posadas,1,NO,NO,NO
amusco,1,NO,NO,NO
totana,1,NO,SI,NO
xativa,1,NO,SI,NO
cortes_de_la_frontera,1,NO,NO,NO
navas_del_marques_las,1,NO,NO,NO
vilamalla,1,NO,NO,NO
roda_la,1,NO,NO,NO
cabanas_de_ebro,1,NO,NO,NO
benetusser,1,NO,SI,NO
sant_jordi_desvalls,1,NO,NO,NO
jabugo,1,NO,NO,NO
sarrion,1,NO,NO,NO
barruelo_de_santullan,1,NO,NO,SI
loriguilla,1,NO,SI,NO
carrion_de_los_cespedes,1,NO,NO,NO
encinacorba,1,NO,NO,NO
penaflor,1,NO,NO,NO
majadahonda,1,NO,SI,NO
humanes_de_madrid,1,NO,SI,NO
silla,1,NO,SI,NO
lebrija,1,NO,SI,NO
mora_la_nova,1,NO,NO,NO
gallur,1,NO,NO,NO
matillas,1,NO,NO,NO
corcos,1,NO,NO,NO
arcos_de_jalon,1,NO,NO,NO
nulles,1,NO,NO,NO
macanet_de_la_selva,1,NO,SI,NO
sant_feliu_de_llobregat,1,NO,SI,NO
briviesca,1,NO,NO,NO
finana,1,NO,NO,NO
puebla_de_hijar_la,1,NO,NO,NO
nules,1,NO,SI,NO
brazatortas,1,NO,NO,NO
sant_guim_de_freixenet,1,NO,NO,NO
lierganes,1,NO,NO,SI
ciudad_real,1,SI,NO,NO
ferreruela_de_huerva,1,NO,NO,NO
flix,1,NO,NO,NO
utrera,1,NO,SI,NO
villahermosa_del_campo,1,NO,NO,NO
yunquera_de_henares,1,NO,NO,NO
